Name,Thickness,Camber
goe482,0.16671,0.088134
goe483,0.054551,0.058675
goe484,0.06254,0.04986
goe488,0.068094,0.030741
goe490,0.08851,0.039038
goe491,0.048988,0.02944
goe492,0.06223,0.03396
goe493,0.150704,0.0337
goe494,0.049651,0.051056
goe495,0.069714,0.050041
goe496,0.10049,0.05011
goe497,0.127981,0.053256
goe498,0.160672,0.05369
goe499,0.068463,0.058779
goe500,0.100576,0.060031
goe501,0.129109,0.062965
goe502,0.160262,0.061078
goe503,0.156222,0.069801
goe504,0.180017,0.05408
goe505,0.141274,0.059004
goe506,0.165196,0.046749
goe507,0.0865,0.029298
goe508,0.165302,0.056544
goe509,0.112294,0.052367
goe510,0.138454,0.059125
goe511,0.167665,0.080422
goe512,0.139888,0.056648
goe513,0.16783,0.05312
goe514,0.167959,0.064574
goe515,0.084558,0.028282
goe517,0.070017,0.046758
goe518,0.180072,0.072776
goe522,0.219146,0.052187
goe523,0.166244,0.09695
goe525,0.166244,0.09695
goe526,0.123105,0.041273
goe527,0.16554,0.058263
goe528,0.124776,0.06188
goe529,0.097096,0.057986
goe530,0.129221,0.050841
goe531,0.138123,0.147436
goe532,0.125812,0.048374
goe533,0.137155,0.046786
goe534,0.141226,0.052129
goe535,0.163032,0.057273
goe54,0.065154,0.034717
goe546,0.10403,0.035768
goe547,0.105512,0.040232
goe548,0.11995,0.023108
goe549,0.138488,0.046787
goe55,0.061898,0.020709
goe550,0.130213,0.042919
goe553,0.137164,0.046584
goe559,0.112581,0.034702
goe561,0.249682,0.102716
goe562,0.141066,0.063021
goe563,0.089043,0.0226
goe564,0.08214,0.02692
goe565,0.084457,0.027969
goe566,0.086837,0.02562
goe567,0.147879,0.052592
goe57,0.062916,0.051389
goe570,0.338279,0.096678
goe571,0.24952,0.099068
goe572,0.186199,0.083155
goe573,0.141056,0.065258
goe574,0.102708,0.050026
goe575,0.133501,0.036179
goe584,0.126964,0.049521
goe585,0.082387,0.033684
goe587,0.05804,0.030046
goe590,0.057375,0.040545
goe591,0.111995,0.050604
goe592,0.143011,0.074717
goe593,0.119037,0.040424
goe595,0.095739,0.030259
goe596,0.0975,0.04043
goe598,0.0657,0.009766
goe599,0.100085,0.015428
goe600,0.131318,0.018841
goe601,0.161355,0.02478
goe602,0.099474,0.034857
goe602m,0.096425,0.038083
goe604,0.179349,0.05384
goe610b,0.078244,0.053027
goe610bm,0.077045,0.055303
goe611,0.12992,0.058584
goe612,0.151068,0.050635
goe613,0.103,0.041251
goe614,0.187958,0.062091
